full_name,gender
kanhyalal,m
sayara begum,f
kuldeep,m
jyoti sharma,f
varsha,f
adarsh,m
komal jaiswal,f
gajendra singh s/o  indra singh,m
ruby panwar,f
priya kumari,f
kiran,f
mohd. riyaz,m
mohan adiwasi,m
naveen bansal,m
babli,f
sabina,f
pushpa,f
nikita,f
rekha,f
hemlata,f
omprakash,m
priti,f
jagdeesh,m
bhanwari devi,f
smt rekha meghwal,f
kumari neelam,f
mohit,m
pankaj baisla,m
varun kalra,m
anita,f
sachin kumar,m
dhiraj passi,m
aarti,f
laxmi,f
farheen,f
chanchal,f
bitto,m
vinod kumar,m
sanjeev,m
rahis ahmed,m
manish  kumar,m
pappu,m
aatam parkash,m
jitender,m
sabana,f
maya,f
akash,f
imran s/o maman singh,m
pradeep kumar,m
ravinath,m
praveen kumar,m
ramtek,m
simran,f
golu @ ramtrilok,m
ajay haldar,m
musra khatoon,f
avi bano,f
pooja,f
rupa,f
pooja,f
anju,f
nisha @ unknown,f
dinesh singh,m
mohit,m
paru devi,f
bhawana,f
babita sarkar,f
bhanwer singh @bablu,m
aphasana  & mukesh & narendra,m
abhinandan,m
krishna,f
raziya,f
gopi,f
kanchan,f
jyoti,f
pooja,f
jyoti,f
roshanara begam,f
deepak,m
nathu,m
smt. pushpa,f
bharat bhushan,m
babita,f
purnima thapa,f
dheeraj,m
smt. prwem devi,f
dharmvir,m
sheela kumari,f
preeti,f
smt. udi,f
firoz,f
jannat,f
miss sima,f
pardeep kumar,m
satpal,m
ashok kumar,m
sabana,f
sunita with her daughter,f
jenab,f
leela nath,f
ramjanam,m
sanju urf sanjya,f
vivekanand mishra @ munsi,m
sahil,m
nidhi kumari,f
gurmeet singh @ golu,m
firoz khan,m
jyoti,f
priyanka,f
anjli pandey,f
mohd sabir anjar,m
jeet ram,m
rashid ahmead,m
preeti,f
smt. rekha,f
rajan,m
sana khatoon,f
sh ramnarayan,m
kiran yadav,f
priyanka chaturvedi,f
suraj,m
najar hussan,m
poonam devi,f
sandeep kumar,m
shahnwaj,m
boby farman,m
ashok kumar sharma,m
shahera,f
pooja,f
jamna devi,f
arti,f
shikha,f
ekta sharma,f
manoj mahto,m
hitender garg,m
suchitra,f
nandu,f
meena,f
arpna pathak,f
geeta,f
laxman pandit,m
salma,f
nena,f
saroj,f
ranveer singh,m
bhikhari,m
sunil,m
seema,f
sachin kumar,m
dolly @ rekha w/o monto shah,m
pooja,f
kumari bhoomika,f
lalit,m
raeeyan,m
reena,f
chanchal,f
praveen kumar,m
varun,m
amin kumar,m
mr.bhagchand,m
arjun singh,m
harish batra,m
ram sharan yadav,m
lata,f
tanjima,f
sonu,m
fhaishal amahad,m
gudiya,f
bijender,m
bhuri devi,f
ankit,m
nilam sharma,f
huma,f
md. afsar,m
abhishik partap singh,m
bharti singh @ sona,f
numesh kumar,m
mahrul nisha,f
surender kapoor,m
geeta @ nazma,f
puja,f
kajal,f
balwant singh,m
sima,f
kumari banti,f
mamta,f
jyoti,f
tufail ahamd,m
santosh devi,f
manish kumar,m
genda devi,f
krishna giri,m
pangita,f
sanjay,m
papu devi,f
gollu,m
pooja,f
dhirender,m
rahul,m
prashant mishra,m
indu,f
pandu rang,m
sunilrawat,m
shyam lal meghawal,m
prinkaya @ pinki,f
chhinderpal,m
vinay @binu,m
smt. babita,f
ashiya,f
md shahid,m
ritu,f
vikram,m
khusbu devi,f
ajay kumar,m
manisha,f
ajay,m
aasish sharma,m
smt priti,f
pardeep adak,m
vijay laxmi,f
sama parveen,f
divya,f
toni @ daya nanad,m
shalini,f
smt. pinki,f
karan,m
om parkash,m
mohit,m
maya,f
subham sahu,m
lilu ram,m
surendra kumar,m
sheikhsai ful,m
smt sapana,f
neeru,f
bimla,f
shyam,m
ammar,m
renu,f
param,m
raju,m
sachi,f
ruksaar,f
anita,f
ramvilash,m
guddi,f
peentu,m
rakhi,f
dinesh jain,m
rahul sagar,m
safika @ haseena,f
surendra kumar,m
lalit,m
ashu,f
kamla devi,f
raju kashyap,m
mahak singh,m
rajesh,m
smt. madhu,f
divya,f
vishnu,m
ramsem,m
suraj,m
heena,f
sukhbir kaur,f
sunder jha,m
satender,m
juhi,f
deepak,m
sanju devi,f
ku.shiv baai,f
rambha,f
w/o kundan kumar,f
deepa,f
meena begum,f
usman,m
pawan saini,m
ram dass,m
jaichand,m
reena,f
roopa,f
sumit,m
madhu,m
sanjay jain,m
pooja,f
poonam,m
devi ram,m
chandini,f
smt monika,f
smt laxmi @ babli,f
rahul,m
sheru,m
jyoti @ pooja,f
p dinesh raju,m
devraj,m
nawaz sarif,m
smriti,f
vishal lamba,m
dhmendar,m
jaya parbha @ pooja,f
soniya,f
lalit,m
amrit singh,m
mayank,m
"amjat ,najru",m
renu rajawat,f
jenab,f
mukul sharma,m
vesali,f
lali @ deepa,f
ganesh,m
kiran and maya both sisters,f
panchma,f
jagdish prasad,m
ramniwasj @ pintu,m
rahul verma,m
smt. ganga devi,f
vikas,m
rohit @ nikki,m
nancy,f
aman,m
pooja @ kalpana,f
nasim,m
dhirender singh ravat,m
kesar,f
chanchal,f
manmohan @ monu,m
dipanshi,f
usha damor,f
minaxni,f
aafrin,f
anju,f
prem wati,f
chandan yadav,m
chanpa megwal,f
goldy,m
sk abu hasan,m
megharam,m
sivam,m
manjeet,f
smt. mamta,f
sandeep,m
rajbir,m
neeru,f
gorav chandra,m
nayana kumari,f
mona,f
raju yadav,m
kajal,f
sunny,m
pooja,f
anita,f
pooja,f
mamta,f
rajiv shah,m
vibha,f
nigar khan,f
kunti,f
सुमन,f
raja,m
prema devi,f
kalyan singh @kallu,m
aashu,m
kajal,f
anju devi,f
satyanarayan harijan,m
ganesh singh,m
bhura singh,m
samer bahadur,m
azad,m
sanjeev kumar,m
omprakash chamoli,m
lala,m
aarti shaha,f
deepa ram,m
hamsiran,f
ritu raj,m
arsad,m
mukesh,m
pawan,m
kamal kishor,m
punam,f
koshalya @ maya,f
m rajeev,m
saket,m
diwan singh,m
leelu,m
najma,f
rakhi,f
noor jah,f
anisha jain,f
rajender,m
maan singh,m
tulsi,f
sher singh,m
smt asha,f
harun,m
mukesh,m
shivani,f
bharti,f
indra,f
kiran,f
naresh kumar,m
smt. laxmi kanwar,f
manish sasodiya,m
mohit gupta s/o late. mahananad,m
sujit,m
wilkish,f
rajeev,m
satish,m
rukhsar,f
mohmad shadi,m
pavan,m
pinki,f
lakh ram,m
rupa kumari,f
santoshi,f
kumari puja,f
muntjar,m
roop kishore,m
neelam,f
premi,f
rakhi,f
sarwitavm,f
rishu,f
pawan saini alongwith rohit age 2.6 yrs,f
anil kumari,f
pancham,m
navjoot,m
sunaina,f
raju ram so harlal ji bishnoi r/o ramesh colony sa,m
inder dutt,m
vijay bansal,m
mohd parvez,m
kalu ram,m
axat,m
km. tanuja,f
priyanka,f
vicky,m
pooga,f
pataso devi,f
renu,f
shahna,f
pintu,m
babli,f
smt madhu,f
rakhi,f
har parsad,m
pooja devi,f
sarla,f
raja muttu,m
nensi obroy,f
yasmin,f
faroj alam,m
shilpa,f
hitender kumar,m
sonali haldar,f
smt. parmeshwari devi,f
ranju sharma,m
rajani,f
shabana,f
sunil kumar,m
bharti,f
prasant,m
gudiya,f
kamlesh,f
"rohit s/o shiv kumar r/o c-78, shivaji park, punja",m
mahabir prasad,m
anupama,f
ajay,m
narender,m
dharmender,m
kavita,f
sundri,f
maya dass,f
krishna,m
sehzad,m
smt. kavita,f
mohd ali @ chanki,m
mohd ushama,m
mustafa mandal,m
krishan,m
mamta,f
priya  chturvedi,f
anita,f
swati,f
komal,f
anoop dimri,m
nand kishor,m
rekha devi,f
suraj kumari,f
bharat,m
baban @ suresh,m
abhishek,m
deepak midha,m
soni,f
preeti chopra,f
nagma,f
rohit kumar,m
ram dutt,m
rahul,m
khusbu,f
rahul,m
bhola ram megwal s/o kana ram,m
varsa,f
shyam sunder,m
bakhtvaar jahan,f
afzal,m
surya narayan,m
chanchal,f
shobha,f
shahnawaj,f
ashok kumar,m
jgdish sharma,m
sauni khatoon,f
sonia,f
pinki bhui @ rinki bhui,f
baby,f
st sakuntala gulati,f
munna kawar,f
neha,f
ramesh,m
heera singh,m
smt prem lata gupta,f
suman,f
zile singh,m
ranjeet singh,m
kanwar saini,m
naveen kumar,m
babulal,m
suresh durg,m
kavita,f
sadik,m
suchi sharma,f
roopam,f
suresh,m
kamal kumar,m
smt. tamu,m
mamta,f
asha devi,f
riyaz,m
rahul shrivastav,m
shivani,f
dinesh sharma,m
mohan ram,m
saroj pandey,f
kiran,f
sandeep,m
tannu,f
beni devi pandey,f
surender,m
annu@anil,m
moolchand urf banti,m
shib lal singh,m
shikha singh,f
jyoti,f
santosh joshi urf pooja,f
akshat @ vashu,m
ekta@mamta,f
minakshi,f
poonam,f
savitri devi,f
saraswati,f
tapish  chorasiya,m
nisha kandwal,f
reena,f
lalita,f
jyoti,f
jaskaran singh,m
hema sharma,f
danish,m
narender@narender bagdi,m
smt kailashi,f
gaurav,m
sahin,f
idrish ali,m
tameezuddin,m
priya kmari maurya,f
deepak,m
kamal kishore sharma,m
kajal,f
meera devi,f
mohd. iqbal,m
raj kumar,m
shahjad,m
arun kundra,m
savan @ anju,m
durga singh,m
sawati,f
saroj kumari @ rajni,f
panchuri,f
sapna,f
mahesh kumar @munna,m
yogesh,m
puran rai,m
mukesh,m
geeta devi,f
javuneesha,f
kedarnath,m
naresh mehta s/o hansraj mehta,m
chinta devi,f
prem ballabh,m
manish,m
priyanka,f
garima,f
kapil,m
vimla devi,f
amar thuruwasn ganeshwaran,m
tapan  kumar,m
suresh,m
meenakshi,f
smt punam,f
ali hussain,m
gayatri,f
sunita verma,f
kumari sonu,f
sharda,f
pooja,f
subham jain,m
rajender kumar,m
davendra meena,m
nargis,f
kajamuddih,m
saroj,f
aman kumar,m
sandna & khusi,f
waseem,m
smt. geeta,f
aarti,f
raheesh,m
yasmin banu,f
mohd. marukh,m
mahender sharma,m
sushil,m
somdath,m
saroj,f
manoj jha,m
feflibai,f
smt. ladi bai mali,f
jahid,m
suresh@tinku,m
bhawana kapoor,f
sajid,m
tabassum,f
karishan lal,m
noorjama @ tukun,m
rena,f
sanjay,m
bashanti bai,f
manish,m
bilal malik,m
munender bahuguna,m
rekha,m
dharm singh,m
jyoty,f
heera lal urf heero,m
asha kumari,f
suresh,m
farhin,f
sabnam,f
vipendra singh s/o mahendra singh,m
annu @ anita,f
mulina,f
subash,m
lata thakur,f
muskan,f
darkash,f
savan,m
sonu,f
meera jana alongwith minor girl omrita jana,f
joginder,m
sarita,f
nadim,m
raju,m
shankarlal,m
bhagwat laxman rany,m
sanjida,f
ram narain,m
adityalok singh,m
poonam @ purnima,f
meenu,f
pavitra,f
kumare  dali,f
dwarika lal,m
kamla,f
shashai ranjan shah,m
ankit,m
rekha,f
huma khan,f
sanju yadav,f
kuldeep singh,m
geeta devi jat,f
priyanka - pinki,f
sibanaz,f
vikash malik,m
shivam,m
rupan kumar,m
md. mujmmil,m
savitri,f
asha devi,f
parteek,m
ruby kumari,f
pawan kumar,m
bala devi,f
smt. laxmi devi,f
pardeep kumar,m
chhanya bai,f
md javed,m
jogender,m
amisha bharti @ mahi,f
uma,f
arun singh,m
smt. rekha,f
ashok kumar sharma,m
dimpal @ saifali,f
asha kumari,f
kiran @ vina,f
mithun malakar,m
amisha,f
partyush gupta,m
gajala,f
kajal,f
arnab,m
giriraj,m
irfan salmani,m
pooja,f
smt anjli malik,f
kiran,f
bharat@dholu,m
sehjal,f
roji,m
devendra singh,m
rakesh panday,m
shanti bai,f
mamata,f
p. subramani,f
aaftab (4 months),m
radha,f
sonam,f
rita d/o laxman,f
vinita,f
sushila,f
jittender,m
daya anand,m
nosad,m
nooruddin,m
raman ralhan,m
pawan kumar,m
rahul sharma,m
sunil,m
simran,f
anjan jha,m
majrula,f
nibo devi,f
devender singh,m
muskan,f
monu,m
raju kanwar,f
kavita,f
jyoti,f
yogender,m
baam,m
rekha,f
sujeet vishwas,m
abhay,m
jyoti,f
radha,f
jarina,f
smt.sabita daive,f
neelam,f
gopal singh,m
lavtar singh,m
sunita urf sonu,f
jagdish lal,m
smt komal,f
deepak kamat,m
dolly,f
rakhi,f
deepa,f
kamala devi,f
sonu,m
kumari rachana,f
rashmi jhaa,f
versha,f
ashok kumar,m
sunita,f
jahid,m
mubashir ali,m
rinki,f
smt mukesh,f
ramdyal @ faggu lal mehto,m
kamlesh,f
nainshi,f
raju damor,f
ashu,m
satpal singh,m
sushila devi,f
raman @ rancho,m
ranjeet,m
sushree durga bai,f
fazia,f
sanat patra,m
kajal,f
kamini w/o vicky,f
seetal,f
omperkash,m
samadh,m
rajat sarma,m
poonam,f
pooran singh saini,m
renu,f
jugan @ jugal kishor,f
seema,f
pradeep lakhera,m
vikrant,m
farida bano,f
rajni devi,f
mukesh,m
jaivanti,f
shivani,f
pardeep kumar,m
julee,f
muskan,f
ravi panday,m
aashik,m
jashinal,f
rahul,m
md aagad,m
ram lal,m
mamta,f
poonam,f
anjuman,f
dinesh kumar dogra,m
shagufta@munny,f
sudha kumari,f
sunder singh,m
saurabh,m
bharat singh,m
sunny,m
ramlakhan yadav,m
vishal,m
lilu,m
bhawana,f
nadeem s/o shahanshah,m
sundar lal,m
sonia,f
sumer malik,m
mukesh chaudhry,m
ku. bharati sharma,f
bhawana devi,f
deepak kumar,m
varsha w/o sunil kumar,f
deepan dev,m
gauri,f
krishan kumar,m
urwashi,f
ranjeet kumar,m
tinku,m
pooja,f
madhu,f
jyoti,f
rajesh kumar,m
usha devi,f
sagar,m
chandar mohan,m
sunil kumar,m
suman,f
ajay sharma,m
mohit,m
kavita,f
dhram raj,m
khushal  singh,m
जशोदा,f
sapna,f
bijender,m
bhag chand,m
dharam singh,m
mukesh kumar,m
verendra pratap singh @ rinku,m
avdesh kumar yadav,m
maya yadav,f
sabeena,f
rani,f
deepak,m
kamal jit singh,m
vishnu,m
shobha,f
vipin yadav,m
pankaj,m
abdul sattar resi,m
mahesh,m
jaswant,m
kajal,f
gul afshan,f
hariram s/0,m
santosh kumar,m
phool kumari,f
sachin kumar sharma,m
sandeep,m
pooja,f
baby,f
vijay shing,m
harun rasheed,m
anikt kumar singh,m
smt pushpa,f
pooja,f
shivani,f
perkash,m
smt sakura brn,f
nisha,f
pinki devi,f
suhani & her son sandeep,f
mehnaz,f
pooja @ puspa,f
piyush @ kalu,m
kuldeep singh,m
sita kumari,f
purva,f
ranjna,f
vikash,m
sanjit misra,m
jyoti sona,f
sweta anand,f
yogender,m
rampati gujar,f
mukesh @ chotu,m
sonia,f
hemlata,f
kamal yadav,m
priyanka,f
preeti,f
shree nanak,m
lalita,f
mis pushpa rajput,f
mohit,m
chinki kanwar,f
pradeep kumar,m
kamlesh panday,f
samreen,f
sanjay mandal,m
mukesh verma,m
varsha,f
komal,f
aswin,m
vinita tiwara,f
shaheen,f
ashwini kumar,m
meera,f
shahna,f
soni,f
heera lal,m
ghan sayam,m
sandeep,m
sampat sadashiv saluke,m
danish,m
kuldeep,m
anam,f
deepak,m
makrud alam,m
tufel,m
anantram,m
mehnaj,f
rohit arora,m
fahim,m
gayatri,f
nausad,m
ritik,m
akash urf deepu,m
naveen nischal,m
satrughan muttun,m
sadab urf golu,m
monu,m
narender,m
gulab,m
jyoti,f
anwar,m
manju bai,f
jyoti,f
roshni,f
jacky and amit,m
furkhan,m
akshay,m
sama parveen,f
kamlesh @ gordi,f
badan singh,m
lalan singh,m
manju,f
rathan lal ji,m
rony rao,m
preeti,f
vishal,m
viresh kumar,m
monika,f
anjali,f
roopnarayan,m
sumit raghav,m
lucky rana singh,m
ayan @ akash,m
avdesh singh tomar,m
pushpa devi,f
smt. jayoti  rawat,f
aman,m
gajraj,m
sunil,m
golu,m
sugandb,f
श्रीमती जसोदा,f
rinku devi,f
anamol modi,m
sony w/o bhola,f
munni,f
ragini,f
sabnam khatun,f
nanka bhil,m
pramod kumar,m
shabana,f
vinay,m
saka bai,f
amit kumar,m
bala,f
chunnu sharma,m
pardeep @ monu,m
ayush,m
rahul,m
muskan,f
bimla,f
shekiba sheikh mohammad,f
amar nath,m
parvesh kumar,m
roopali,f
affan,m
smt. rekha,f
rakhi devi,f
बादाम बा,f
rakesh khatik,m
aarti,f
vijay,m
gudiya,f
radhey shyam,m
amit,m
kajal,f
rinky,f
partibha,f
bharti,f
praveen kumar @papees,m
sarvan kumar,m
sangeet,f
krishan kumar,m
babita,f
jasina khatoon,f
lal jee,m
deepak kapoor,m
babu,m
abdul samad,m
renuka,f
ashish kumar,m
vijaypal singh,m
sunita,f
reema,f
vishwjeet devnath,m
rajeev kumar,m
diksha,f
charanjeet kaur,f
ritu,f
devki @ devkumari,f
jitender,m
rizwana,f
afsha,f
divya,f
sagar,m
vandana,f
rajkumar,m
banwari lal,m
trijugi narayan sukla,m
ravi swarnkar,m
pooja maindai,f
jaya,f
radhika,f
pankaj yadav,m
prem chand,m
naveen,m
nisha sharma w/o rajesh sharma,f
dhruv goel,m
anil jain,m
balwan,m
tarawati,f
sariq rahaman,m
kiran,f
elwin lal,m
neha,f
basanti devi,f
sobha veshy,f
jyoti,f
bhanu pratap singh,m
ntasha,f
raju,m
popinder,m
inderjeet kour,f
savita,f
nisha joshi,f
vikas kumar,m
nitesh kumar,m
ghansyam kuswah,m
sunil kumar,m
chanchal,f
suraj kumar,m
chanden kumar mehto,m
aarti,f
deepak,m
pooja,f
samsad,f
vishvanath,m
aamosh jacab,m
satish,m
smt dhapoo devi,f
aarti,f
halima,f
pankaj kumar,m
geeta @ radhika,f
vishal,m
kumari talat aara,f
barkha,f
rihana,f
kumari arti,f
lalita,f
muskarn,f
seema,f
monu,m
rajpal,m
najim,m
shalender,m
sangeeta,f
rajkumar,m
mukesh kanwar,f
anchal,f
madhwi,f
shehnaz @ ravina,f
tausin,m
vinod arora,m
ghanshyam,m
manoj,m
ritu @ shallu,f
amit sachdeva,m
vijay ghimre,m
sangeeta,f
raj,m
bimlesh,f
mandeep kour,f
smt. rahila,f
suraj sharma,m
arindom gupta,m
deep mala,f
manoj,m
rozi sharma,f
geeta,f
mintu mulla,m
jitender,m
najrana,f
pradeep,m
kumari shital,f
shalini @ shallu,f
madhu,f
ku moni,f
jasbir kaur,f
mithlesh,f
ashu kant @ tridev,m
sorab siaq,m
harees sharma,m
shabnur,f
kanwar baljit singh,m
saroj verma,f
mamta garg,f
vinay kumar,m
shetan gurjar,m
anjali,f
ku. ankita,f
pinki,f
lila,f
bharti,f
ankit,m
ranjeet s/o mohan paswan,m
magat ram,m
gudiya,f
sumitra,f
sunita,f
reena,f
ashok kharkwal,m
philomina,f
beena,f
shobha wati,f
minakshi,f
ashu,m
mamta,f
priya,f
kanchan chaudhary,f
bhulaee,m
तारा बाई,f
amit,m
miss sushila kumari,f
vickky,m
akshay kumar,m
smt kusum davi,f
deepak,m
bidur mahat,m
tania parveen,f
km. ushman,f
anita,f
smt. munni,f
tripta,f
pinki,f
vishal,m
prshant,m
rinku,f
mahender singh,m
श्रीमती पारस बाई,f
sunil,m
abhishek,m
rajiv,m
satish kumar,m
deepali singh,f
mohd haider,m
rukhsar,f
neha,f
monika kumari,f
bangali babu,m
kuldeep singh,m
lakshay,m
kamrulnisha,f
kusum,f
deshraj,m
deepa,f
rajia,f
amrita,f
anjana kumari,f
tahira bibi,f
kajal @ payal,f
mahender kumar,m
rajesh mandal,m
manisha,f
km sivhani,f
gaurav,m
ritika sharma,f
rohit,m
anju,f
chandni,f
soni d/o,f
preeti,f
shahid,m
pooja saini,f
rajat garg,m
soni kumari,f
raju,m
yash,m
rajkumar,m
prem singh chauhan,m
poonam kumari,f
smt leela kunwar,f
gaurav,m
renu,f
nikki,f
mamta,f
pushpa lamoon,f
pawan,m
hemlata,f
bhagwati @bhoti,f
pooja,f
jabir hussain,m
ravi,m
mamta,f
sakshi,f
sunita,f
neha @ neelam,f
priyanshu,f
ramniwas,m
pawan kumar @ sanu,m
balram,m
nitish bhardwaj,m
sharda rao,m
lovly @ ladi,m
sardhu sharma,m
pooja kanwar,f
komal,f
smt kavita,f
anil yadav,m
sneha kumari,f
santosh kumar,m
rukhsar,f
shana,f
hasan,m
mahipal,m
sharuna,f
kirti sonkar,f
deepak kumar,m
mukesh kumar,m
mamini,f
kapil,m
batloon w/o garib ulla,f
raj kumar,m
manoj yadav @ manoj,m
aarti,f
smt  alka rani,f
roopa,f
ramu yadav,m
sonia banerjee,f
nazmuslam,m
shyamveer,m
masum jannat,f
komal,f
priti,f
naresh garg,m
suleman,m
aarti,f
razi,m
smt shabanam,f
anita,f
hari uraown,m
iklakh,m
vipin,m
khusbu,f
amit kumar,m
guddi bai,f
mukesh gupta,m
brijlal giri,m
nisha,f
himanshi,f
rahul,m
kailash,f
jyoti,f
komal,f
abhishek,m
aasha kanwar,f
amit kumar,m
vinay kumar jain,m
budhram,m
parwati,f
gyatri,f
priyanka dhama,f
suman gungi,f
smt nidhi,f
traun kumar,m
usha,f
kuldeep singh,m
nand kishor,m
chetna,f
km.prinka,f
tejpal agarwal,m
pinki,f
amit kumar,m
nadir,m
jitendera singh,m
tina,f
geeta,f
dund kishan,m
minaksi mehra,f
hukum chand,m
abhishek,m
kishan,m
kavita gupta,f
suresh,m
sangeeta kumari,f
seema,f
neeraj kumar,m
dharminder,m
meenakshi raj sharma,f
chaman,m
mohd wazir,m
raghuveer,m
suman mali @ sumit,m
anja bai,f
ramesh yogi,f
jyoti,f
hardev,m
anju,f
madhuri,f
ruby,f
ram avtar,m
sumit,m
bharat singh,m
shivbhagvan,m
mahavir,m
rajina,f
molu,m
laxmi,f
baldev singh,m
vandana,f
gulab shah,f
ayube,m
sonu,m
suman shakawat,f
dinesh,m
chetan,m
seeta,f
niraj,m
kirti,f
gurmeet singh,m
kosalya,f
rohtash,m
nirosha,f
anish ahamad,m
riya,f
vimla kumari,f
priyansi,f
ramesh ram,m
nisha,f
lakhe sari gaur,f
gamer das,m
rajeev jha,m
bhateri @ bhawna,f
ajay,m
rame,m
prem lal,m
rajesh,m
nursa khatoon,f
istkhar ali @ shanu,m
nand kanvari,f
kalish,m
minakshi,f
premjit kaur,f
mamta,f
preeti,f
monika sharma d/o anil kumar,f
chanchal,f
ruksar,f
ali aba,f
gudiya,f
versha,f
gordhan das,m
smt. hemleta saini,f
smt.laxmi,f
meenu,f
jagdish,m
sunil,m
mohan,m
santosh,f
talib,m
shahnawaj,m
tisar parasar,m
nirmal,m
priya kumari,f
ahmed hasan,m
mariyam,f
pooja,f
laxman,m
lawrence s,m
avinash chand,m
pravendra singhal,m
sangeena,f
mahender @manish,m
kajal,f
tulsi,f
teekam,m
seema @ simran,f
mayank sharma,m
sunil,m
ashok kumar,m
ishwar singh aggarwal,m
vikram khatri,m
mamta,f
neeraj kumar,m
asrani toppo d/o,f
astha,f
manoj,m
smt saroj,f
manohar singh,m
munni,f
smt. pinki@malti devi,f
sumitra shah,f
shafibul,m
pawan kumar,m
dharmendra singh,m
fharman,m
shankar,m
firoz ahemad,m
partibha,f
samvedna,f
muskan,f
ku. pushpa,f
kanchan devi,f
monika,f
kusum,f
umesh,m
noorjahan,f
kamlesh gupta,f
sushma,f
satyapal,f
laxmi,f
sh. madan jain,m
dulal,m
sonam,f
saksi chandna,f
satpal kaura,m
mohd suleman,m
babli,f
lakshay,m
chirag batta,m
hemant narayran yadav,m
amarjeet,m
rekha,f
mini kumari,f
moh an kumar,m
vikki kumari,f
bhushan kumar,m
rumal  kumari,f
jyoti,f
amrit pal singh,m
jeeth p k,m
upender yadav,m
सुश्री अनुपमा,f
rishu @ vishal bansal,m
varsha sharma,f
kamlesh,f
megha alongwith daughter 6 month,f
sh. ram lal,m
vipin varma,f
kamil,m
seema,f
ram pyari,f
insaf ali @ mulla,m
rajeev,m
dhamender s/o nandu,m
akash,m
rajkumar,m
gytri  garg,f
shishpal,m
munni,f
jainab khan,f
nitika,f
namita or nimmi,f
